term,mean_tfidf
jiangsu,0.038353929661404634
culture,0.028548986943837965
garden,0.021881647076553386
jiangnan,0.021813528197062393
canal,0.01989630819596251
photogenic,0.018203198042029786
local,0.01699194983907847
jiangnan aesthetic,0.015180517320963361
aesthetic,0.015180517320963361
elegant,0.015039516229656746
unforgettable,0.015008383360297377
jiangsu culture,0.014839455050378777
highlight jiangsu,0.014839455050378777
highlight,0.014839455050378777
cultural,0.014711110326699786
museum,0.01457573002628507
heritage,0.014537138157505389
hospitality,0.014325642779204558
lasting,0.014131931578119192
impression,0.014131931578119192
lasting impression,0.014131931578119192
refined photogenic,0.013965378750112993
refined,0.013965378750112993
blew,0.013965378750112993
silk,0.013856147616828534
authentic,0.013763234636933139
authentic especially,0.013763234636933139
overseas,0.013763234636933139
especially,0.013763234636933139
local hospitality,0.013399645080361204
warm local,0.013399645080361204
warm,0.013399645080361204
stunning,0.012940314963525542
show jiangnan,0.012940314963525542
encounter,0.012940314963525542
show,0.012940314963525542
stunning encounter,0.012940314963525542
power,0.012708139540556674
power real,0.012708139540556674
charming,0.012708139540556674
