month,posts,mean_compound,positive_share,negative_share
2022-01,2249,0.3088666518452646,0.6616273899510894,0.11116051578479325
2022-02,2025,0.30158395061728394,0.6508641975308642,0.11160493827160493
2022-03,2243,0.32164016941596074,0.6772180115916183,0.10164957646009808
2022-04,2113,0.30489228584950306,0.6672976810222433,0.11973497397065783
2022-05,2248,0.3346637010676156,0.6895017793594306,0.10142348754448399
2022-06,2202,0.30981357856494096,0.6662125340599455,0.11353315168029064
2022-07,2262,0.32519748010610083,0.6799292661361627,0.10742705570291777
2022-08,2312,0.3392881055363322,0.6967993079584776,0.1051038062283737
2022-09,2137,0.31992732802994855,0.6775854000935891,0.10762751520823584
2022-10,2267,0.32336069695632996,0.6735774150860168,0.09792677547419497
2022-11,2112,0.31907064393939394,0.6818181818181818,0.11221590909090909
2022-12,2210,0.3021081447963801,0.665158371040724,0.12262443438914027
2023-01,2187,0.3191675811614083,0.6753543667123914,0.10470964791952446
2023-02,2011,0.30708204873197414,0.6653406265539532,0.11437095972153158
2023-03,2231,0.3004001792917974,0.6669654863290004,0.12191842223218288
2023-04,2112,0.314435321969697,0.6751893939393939,0.11363636363636363
2023-05,2202,0.30081135331516806,0.6612170753860127,0.11534968210717529
2023-06,2170,0.31534281105990786,0.6714285714285714,0.11290322580645161
2023-07,2190,0.31661013698630136,0.671689497716895,0.1095890410958904
2023-08,2205,0.31124036281179135,0.6748299319727891,0.10975056689342404
2023-09,2135,0.3009194379391101,0.6576112412177986,0.12037470725995317
2023-10,2255,0.3268091796008869,0.6917960088691796,0.11086474501108648
2023-11,2172,0.3033749079189687,0.6588397790055248,0.11878453038674033
2023-12,2235,0.31224617449664427,0.6684563758389261,0.11901565995525727
2024-01,2179,0.3043756769160165,0.6585589720055071,0.1179440110142267
2024-02,2088,0.31877969348659,0.6781609195402298,0.11254789272030652
2024-03,2212,0.3081248643761302,0.6763110307414105,0.12477396021699819
2024-04,2240,0.31863129464285717,0.6758928571428572,0.1125
2024-05,2211,0.29819421076436003,0.6644052464947987,0.12437810945273632
2024-06,2213,0.3147669227293267,0.6719385449615906,0.11296882060551287
2024-07,2153,0.31526604737575475,0.6739433348815607,0.114723641430562
2024-08,2269,0.3181814014984575,0.6800352578228295,0.12031732040546496
2024-09,2169,0.2978936376210235,0.6643614568925772,0.1267865375749193
2024-10,2231,0.30513397579560736,0.6638278798744958,0.11474675033617213
2024-11,2141,0.3004334423166744,0.6707146193367586,0.12237272302662307
2024-12,2210,0.32242411764705886,0.6809954751131222,0.11085972850678733
2025-01,2173,0.3070786930510815,0.6594569719282098,0.11780947998159227
2025-02,1998,0.3162622122122122,0.6701701701701702,0.11311311311311312
2025-03,2266,0.3013576345984113,0.6676963812886143,0.1235657546337158
2025-04,2050,0.3290176585365854,0.6878048780487804,0.1048780487804878
2025-05,2270,0.3097314537444934,0.6744493392070484,0.11938325991189427
2025-06,2222,0.29210859585958593,0.6575157515751575,0.12736273627362737
2025-07,2259,0.3189390438247012,0.6719787516600265,0.10801239486498451
2025-08,2217,0.3106790257104195,0.6662156066756879,0.11592241768155165
2025-09,2209,0.30677320054323226,0.6604798551380715,0.11272068809416025
2025-10,2176,0.32261957720588236,0.6856617647058824,0.11443014705882353
2025-11,2151,0.29343923756392376,0.6490004649000465,0.12226871222687122
2025-12,2208,0.30892558876811593,0.6711956521739131,0.11503623188405797
